#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
222,Montserrat,"1,403",,8,,"1,376",,19,,"280,656","1,600","17,762","3,553,111","4,999",North America,46250,,,"3,801",,
223,Macao,793,,6,,787,,0,,"1,184",9,"7,850","11,724","669,569",Asia,"84,411,159,585",,,,,
224,Wallis and Futuna,761,,7,,438,,316,,"70,528",649,"20,508","1,900,649","10,790",Australia/Oceania,"1,415,411",,,"29,286",,
225,Diamond Princess,712,,13,,699,,0,,,,,, ,,,,,,,
226,Niue,83,, ,,81,,2,,"50,273",,,,"1,651",Australia/Oceania,20,,,"1,211",,
227,Vatican City,29,, ,,29,,0,,"35,980",,,,806,Europe,28,,,,,
228,Tuvalu,20,, ,,,,20,,"1,649",,,,"12,125",Australia/Oceania,606,,,"1,649",,
229,Western Sahara,10,,1,,9,,0,,16,2,,,"630,919",Africa,"63,092,630,919",,,,,
230,MS Zaandam,9,,2,,7,,0,,,,,, ,,,,,,,
,Total:,"191,711,910","126,446","1,483,770",268,"185,716,761","118,185","4,511,379","9,477",,,,,,Asia, ,,,,,
,Total:,"117,218,032","12,713","1,546,761",92,"112,429,023","56,970","3,242,248","7,832",,,,,,North America, ,,,,,
,Total:,"231,375,834","128,628","1,930,076",247,"223,672,447","155,952","5,773,311","10,059",,,,,,Europe, ,,,,,
,Total:,"64,253,298","8,748","1,331,379",30,"62,567,082","4,679","354,837","10,185",,,,,,South America, ,,,,,
,Total:,"12,485,913","2,029","21,282",8,"12,302,503",0,"162,128",92,,,,,,Australia/Oceania, ,,,,,
,Total:,"12,659,055",957,"257,739",3,"11,997,626",311,"403,690","1,000",,,,,,Africa, ,,,,,
,Total:,721,,15,,706,,0,0,,,,,,, ,,,,,
,Total:,"629,704,763","279,521","6,571,022",648,"608,686,148","336,097","14,447,593","38,645","80,785.20",843,,,,All,,,,,,
